date,class,focuses,uf
2024/04,Supressão da vegetação nativa - consolidado,46,SÃO PAULO
2024/01,Supressão da vegetação nativa - consolidado,65,SÃO PAULO
2024/01,Vegetação nativa,1,SÃO PAULO
2023/12,Supressão da vegetação nativa - consolidado,23,SÃO PAULO
2024/02,Supressão da vegetação nativa - consolidado,72,SÃO PAULO
2024/02,Supressão da vegetação nativa - recente,1,SÃO PAULO
2023/11,Supressão da vegetação nativa - consolidado,16,SÃO PAULO
2024/03,Supressão da vegetação nativa - consolidado,98,SÃO PAULO
2024/03,Supressão da vegetação nativa - recente,1,SÃO PAULO
2023/10,Supressão da vegetação nativa - consolidado,14,SÃO PAULO
2024/04,Vegetação nativa,1,SÃO PAULO
2024/05,Supressão da vegetação nativa - consolidado,303,SÃO PAULO
2024/05,Supressão da vegetação nativa - recente,7,SÃO PAULO
2024/05,Vegetação nativa,3,SÃO PAULO
2024/06,Supressão da vegetação nativa - consolidado,447,SÃO PAULO
2024/06,Supressão da vegetação nativa - recente,6,SÃO PAULO
2024/06,Vegetação nativa,6,SÃO PAULO
2024/07,Supressão da vegetação nativa - consolidado,407,SÃO PAULO
2024/07,Supressão da vegetação nativa - recente,12,SÃO PAULO
2024/08,Supressão da vegetação nativa - consolidado,2814,SÃO PAULO
2024/08,Supressão da vegetação nativa - recente,26,SÃO PAULO
2024/08,Vegetação nativa,12,SÃO PAULO
2024/09,Supressão da vegetação nativa - consolidado,2102,SÃO PAULO
2024/10,Vegetação nativa,8,SÃO PAULO
2024/09,Supressão da vegetação nativa - recente,28,SÃO PAULO
2024/09,Vegetação nativa,24,SÃO PAULO
2024/10,Supressão da vegetação nativa - consolidado,143,SÃO PAULO
2024/09,Vegetação nativa,7,SÃO PAULO
2024/10,Supressão da vegetação nativa - consolidado,546,SÃO PAULO
2024/10,Supressão da vegetação nativa - recente,4,SÃO PAULO
2024/09,Supressão da vegetação nativa - recente,2,SÃO PAULO
2024/10,Vegetação nativa,6,SÃO PAULO
2024/09,Supressão da vegetação nativa - consolidado,359,SÃO PAULO
2024/08,Vegetação nativa,3,SÃO PAULO
2024/08,Supressão da vegetação nativa - recente,4,SÃO PAULO
2024/08,Supressão da vegetação nativa - consolidado,753,SÃO PAULO
2024/07,Supressão da vegetação nativa - consolidado,80,SÃO PAULO
2024/06,Supressão da vegetação nativa - recente,1,SÃO PAULO
2024/06,Supressão da vegetação nativa - consolidado,72,SÃO PAULO
2024/05,Supressão da vegetação nativa - consolidado,85,SÃO PAULO
2024/04,Supressão da vegetação nativa - consolidado,16,SÃO PAULO
2024/03,Supressão da vegetação nativa - consolidado,39,SÃO PAULO
2024/02,Supressão da vegetação nativa - consolidado,20,SÃO PAULO
2024/01,Supressão da vegetação nativa - consolidado,9,SÃO PAULO
2023/10,Supressão da vegetação nativa - consolidado,43,SÃO PAULO
2023/10,Supressão da vegetação nativa - recente,1,SÃO PAULO
2023/11,Supressão da vegetação nativa - consolidado,36,SÃO PAULO
2023/11,Supressão da vegetação nativa - recente,2,SÃO PAULO
2023/12,Supressão da vegetação nativa - consolidado,42,SÃO PAULO
2023/12,Vegetação nativa,1,SÃO PAULO